"Electorate","State","10-19_Male","10-19_Female","20-29_Male","20-29_Female","30-39_Male","30-39_Female","40-49_Male","40-49_Female","50-59_Male","50-59_Female","60-69_Male","60-69_Female","70-79_Male","70-79_Female","80-89_Male","80-89_Female","90-99_Male","90-99_Female","100_plus_Male","100_plus_Female","Total_Male","Total_Female"
"Hume","NSW",10100,9536,7442,7342,8370,8891,9579,9993,8820,9035,7152,6932,3659,3836,1531,2281,176,467,6,14,56836,58331
"Eden-Monaro","NSW",9620,9079,7030,6742,7982,8406,10440,10660,10634,10561,8642,8147,4719,4598,2022,2761,229,570,0,17,61310,61536
"Riverina","NSW",10927,10366,8725,8650,8293,8550,9570,9734,9972,9854,8416,8237,5308,5851,2533,3676,275,819,11,31,64010,65774
"Gilmore","NSW",9182,8714,6074,5602,6423,6830,8480,9182,10034,10741,10315,10672,6962,7227,3339,4187,386,833,4,16,61209,64000
"Robertson","NSW",8997,8579,7315,7144,7574,8082,9008,9975,9083,9818,7736,8438,4960,5962,2983,4466,411,940,0,14,58068,63417
"Dobell","NSW",10441,10114,7810,7942,8200,9038,9312,10162,8824,9552,7309,8076,4800,5729,2768,4170,399,933,9,27,59866,65745
"Shortland","NSW",9705,9086,7359,7527,7619,8231,9315,9780,9225,9624,7973,8768,5411,6122,2628,3581,283,594,3,11,59520,63331
"Calare","NSW",11105,10344,9174,8605,8746,8935,10106,10262,10145,9842,8763,8532,5073,5359,2126,3200,230,649,3,33,65472,65762
"Page","NSW",10893,10464,6906,6863,7595,8348,9918,10794,12046,12304,9946,9747,5874,6135,2803,3756,330,835,9,20,66314,69260
"Parkes","NSW",10785,10063,8347,8801,8416,9047,10131,10341,10750,10267,8865,8180,5349,5580,2316,3297,250,667,0,18,65206,66256
"Cowper","NSW",10048,9540,6577,6748,7046,7782,9180,10476,10824,11569,10150,10429,6467,7164,3373,4705,448,942,9,26,64124,69384
"Hunter","NSW",10493,9968,9106,8520,8975,9087,9940,9882,9757,9910,8140,8047,4469,5023,2284,3431,315,761,4,14,63472,64650
"Lyne","NSW",9009,8596,4893,4986,5765,6538,8387,9240,9884,10305,10455,10581,7038,7106,3273,3966,391,875,4,16,59092,62213
"Paterson","NSW",9833,9473,8157,8192,8586,8952,9141,9608,8890,9312,7863,8219,4603,5010,1973,2983,208,516,4,14,59261,62286
"New England","NSW",10570,10100,8168,8245,7739,8457,9288,9874,10156,10388,8902,8811,5404,5881,2304,3415,269,796,0,26,62799,65983
"Cunningham","NSW",9560,9025,11261,10453,9442,9573,9944,10054,9192,9483,7019,7218,4645,5333,2557,3746,308,692,4,22,63935,65596
"Whitlam","NSW",10318,9907,7485,7619,8011,8592,9388,10100,8853,9479,7796,8349,5098,5813,2253,3109,236,585,3,16,59451,63564
"Sydney","NSW",4035,4324,24697,25015,21980,17831,12401,8692,8282,6897,5585,4640,2629,2585,1022,1340,101,247,3,3,80747,71586
"Farrer","NSW",11424,10667,8325,8549,8645,8918,10104,10582,10900,10761,9106,8782,5843,6142,2805,3687,291,769,6,20,67458,68872
"Newcastle","NSW",8684,8195,12320,12144,10134,9945,9664,9840,9176,9329,6685,6928,3899,4732,2326,3944,316,834,3,18,63196,65908
"Richmond","NSW",9169,8579,6107,6061,7184,8195,9265,10549,10434,11259,8818,9004,5664,6501,3378,4538,449,905,13,20,60478,65613
"Mitchell","NSW",10109,9398,7608,7679,9281,10437,10298,10917,8546,9035,6821,7193,3200,3266,1194,1873,153,393,0,9,57205,60212
"Berowra","NSW",10930,10230,7699,7139,7076,8031,10482,11716,10215,10734,7645,7532,3778,4095,1933,2857,295,812,6,25,60059,63177
"Macquarie","NSW",10131,9426,7779,7374,7871,8458,9834,10805,9851,10322,7535,7907,3602,4162,1600,2419,209,611,0,11,58409,61503
"Greenway","NSW",10096,9600,10397,10465,13199,13213,10560,10527,8245,8370,5470,5545,2686,2984,1076,1612,78,251,3,4,61813,62571
"Chifley","NSW",12918,12093,11124,11420,10507,11463,10459,10772,8761,9192,6112,6370,2757,3339,1098,1827,118,379,0,12,63855,66871
"McMahon","NSW",11247,10576,11263,11757,10874,11030,10308,10740,9356,9702,6701,6772,3637,4026,1555,2278,151,383,4,12,65096,67274
"Kingsford Smith","NSW",8122,7683,15365,15027,13198,13505,10732,10937,8411,8738,6366,6851,4050,4666,2202,3300,259,665,5,10,68711,71369
"Barton","NSW",8399,7931,12614,12437,12455,12313,10459,11002,8570,9093,6501,6673,4433,4891,2275,3036,331,789,0,35,66042,68201
"Grayndler","NSW",5137,4900,10710,11990,14221,15446,11164,11433,7690,8287,5489,5702,3048,3449,1520,2049,183,511,5,20,59166,63784
"Wentworth","NSW",5794,5565,10695,12349,14229,14532,9929,9860,7343,7653,6139,6491,3332,3873,1998,3167,397,968,11,37,59852,64494
"Blaxland","NSW",11413,10609,13321,12904,11349,11271,10340,10373,9173,9188,6357,6133,3622,3943,1982,2994,242,578,3,11,67806,68009
"Watson","NSW",10898,10116,12591,12433,12035,12038,10975,11436,9184,9399,6428,6260,4131,4543,2105,2996,275,665,0,15,68622,69897
"Banks","NSW",9054,8589,9737,9769,9718,10482,9745,10674,9119,9650,6600,6961,4189,5076,2522,3877,323,797,8,12,61003,65893
"Cook","NSW",7575,7421,7989,8226,8721,9174,9153,9616,8295,8573,6667,7075,4295,5183,2692,4099,380,875,9,22,55773,60273
"Reid","NSW",7881,7672,14750,13709,13121,12780,10189,10937,8680,9106,6034,6171,3669,4239,2032,3006,294,672,4,23,66648,68319
"North Sydney","NSW",7386,6361,10333,11301,13424,14071,10367,11168,8067,9104,6584,7102,3338,4023,1833,3075,332,937,7,37,61669,67177
"Bradfield","NSW",10851,10975,7846,8031,8017,9112,10599,12284,9389,9943,6967,7475,4353,4980,2694,4095,459,1195,3,34,61178,68132
"Bennelong","NSW",8945,8213,11783,12085,10736,11072,10231,11122,9043,9709,6267,6639,4003,4885,2319,3615,336,736,10,22,63677,68088
"Warringah","NSW",7233,6967,8361,8812,11910,12535,10623,11409,7899,8347,6116,6745,3392,4055,2004,3089,309,817,5,28,57850,62808
"Mackellar","NSW",8933,8083,7036,6731,8844,9498,10342,11113,8874,9434,7377,7772,4394,4818,2405,3681,447,1004,6,29,58655,62156
"Macarthur","NSW",11194,10601,10284,10668,9329,9996,9173,10046,8996,9714,6233,6286,2487,2767,876,1374,87,201,0,0,58661,61651
"Hughes","NSW",9905,9282,8790,8332,9240,9806,9911,10633,9011,9433,6675,6769,3009,3281,1447,2204,204,493,0,15,58191,60238
"Werriwa","NSW",12689,11991,10220,10646,10037,11415,10939,11334,9067,9250,5525,5357,2696,3149,996,1582,121,271,3,4,62288,64999
"Lindsay","NSW",10611,10276,10867,11192,10736,11255,9867,10170,8922,9575,6800,6770,2966,3307,1165,1916,130,409,4,7,62072,64891
"Parramatta","NSW",9599,8606,15647,15321,15565,14219,10715,10735,8763,8977,5987,5983,3519,3879,1684,2585,201,605,3,11,71687,70908
"Fowler","NSW",11278,10411,11074,11413,9735,10644,10471,10958,10014,10629,6784,6472,3674,4171,1652,2381,192,427,13,17,64881,67526
